customer_id,temperature,time,expiration,age,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Y,dest_Home,dest_No Urgent Place,dest_Work,pass_Alone,pass_Friend(s),pass_Kid(s),pass_Partner,weather_Rainy,weather_Snowy,weather_Sunny,coupon_Bar,coupon_Carry out & Take away,coupon_Coffee House,coupon_Restaurant(20-50),coupon_Restaurant(<20),gender_Female,gender_Male,mar_Divorced,mar_Married partner,mar_Single,mar_Unmarried partner,mar_Widowed
258868,80,4,1,1,0,3,0,1,2,3,4,4,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
318369,80,1,2,1,0,5,0,4,2,3,4,3,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
320906,80,2,2,1,0,3,0,1,2,5,4,3,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
412393,55,1,2,1,0,5,2,3,2,2,4,3,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
290854,30,4,1,1,0,3,1,2,3,2,4,2,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
438743,80,1,1,3,0,3,2,3,3,3,4,4,3,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
152741,80,4,1,3,0,6,3,4,1,1,4,3,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
268067,55,4,1,1,1,4,1,5,1,3,3,3,2,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
420352,80,4,1,1,1,5,2,5,1,3,3,3,3,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
425469,80,5,1,2,0,2,2,2,2,2,3,2,2,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
235763,80,4,1,2,0,4,2,2,2,4,3,2,2,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
160857,80,2,1,2,0,6,2,4,2,2,5,5,4,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
277317,80,1,2,1,0,3,2,5,3,3,5,4,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
347292,55,1,2,1,0,5,2,6,1,2,4,4,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
283955,30,1,2,3,1,6,2,8,1,4,3,4,2,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
211869,55,1,2,1,0,4,1,1,2,2,2,3,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
233097,55,2,2,1,0,5,2,9,2,2,3,3,3,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
163646,80,1,1,2,0,3,2,2,1,1,3,3,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
246895,80,4,1,1,0,5,2,7,1,1,3,4,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
319547,80,5,1,1,0,4,2,3,4,3,4,3,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
265548,55,4,2,1,1,5,2,3,2,3,3,3,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
437304,55,5,1,2,1,6,2,8,2,3,3,2,3,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
410395,80,2,2,1,0,5,2,5,4,3,3,3,2,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
137051,55,3,1,2,1,6,2,9,2,4,3,3,2,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
216976,80,2,2,3,1,4,1,4,2,2,2,4,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
388717,30,1,1,1,0,6,2,5,2,3,2,3,2,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
324279,80,3,2,1,0,5,2,3,4,1,4,5,3,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
279378,55,4,1,1,1,5,2,9,3,5,4,5,4,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
410443,55,2,1,1,0,3,2,5,3,4,4,4,3,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
217740,80,5,2,1,1,5,2,3,2,1,3,2,2,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
413984,30,2,1,2,1,4,2,3,1,1,1,3,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
283041,55,4,2,1,0,5,2,7,1,1,3,4,3,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
376679,30,4,2,0,0,3,0,8,1,3,3,3,2,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
221421,80,4,2,2,1,3,2,9,2,2,3,3,2,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
